run_utc,label,device,height,width,duration_s,calls,weight_bytes,weight_mib,peak_alloc_delta_bytes_max,peak_alloc_delta_mib_max,peak_reserved_delta_bytes_max,peak_reserved_delta_mib_max,rss_delta_bytes_max,rss_delta_mib_max
2026-02-01T23:39:35.553385+00:00,text_encoder,None,1024,1024,,2,0,0.000,9851921408,9395.524,9860808704,9404.000,610701312,582.410
2026-02-01T23:39:35.553385+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,371195904,354.000
2026-02-01T23:39:35.553385+00:00,transformer,None,1024,1024,,100,17799988864,16975.392,506550784,483.084,614465536,586.000,94371840,90.000
2026-02-01T23:43:26.356575+00:00,text_encoder,None,2048,2048,,2,0,0.000,9851921408,9395.524,9860808704,9404.000,610508800,582.227
2026-02-01T23:43:26.356575+00:00,vae,cuda:0,2048,2048,,1,167639366,159.873,2573337088,2454.125,2956984320,2820.000,373161984,355.875
2026-02-01T23:43:26.356575+00:00,transformer,None,2048,2048,,100,17799988864,16975.392,2255649280,2151.155,2497708032,2382.000,94765056,90.375
2026-02-02T01:12:41.061544+00:00,text_encoder,None,1024,1024,,2,0,0.000,5244563456,5001.605,5268045824,5024.000,611983360,583.633
2026-02-02T01:12:41.061544+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,373161984,355.875
2026-02-02T01:12:41.061544+00:00,transformer,None,1024,1024,,100,9193103302,8767.227,582048256,555.084,679477248,648.000,94765056,90.375
2026-02-02T01:13:44.396698+00:00,text_encoder,None,1024,1024,,2,0,0.000,9851921408,9395.524,9860808704,9404.000,610533376,582.250
2026-02-02T01:13:44.396698+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2998927360,2860.000,373161984,355.875
2026-02-02T01:13:44.396698+00:00,transformer,None,1024,1024,,100,9193103302,8767.227,582048256,555.084,761266176,726.000,93585408,89.250
2026-02-02T01:14:39.145978+00:00,text_encoder,None,1024,1024,,2,0,0.000,9851921408,9395.524,9860808704,9404.000,610308096,582.035
2026-02-02T01:14:39.145978+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,370802688,353.625
2026-02-02T01:14:39.145978+00:00,transformer,None,1024,1024,,100,17799988864,16975.392,506550784,483.084,614465536,586.000,93978624,89.625
2026-02-02T01:15:32.733767+00:00,text_encoder,None,1024,1024,,2,0,0.000,5244563456,5001.605,5268045824,5024.000,611864576,583.520
2026-02-02T01:15:32.733767+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,3019898880,2880.000,371195904,354.000
2026-02-02T01:15:32.733767+00:00,transformer,None,1024,1024,,100,17799988864,16975.392,506550784,483.084,572522496,546.000,94765056,90.375
2026-02-02T02:34:05.426265+00:00,text_encoder,None,1024,1024,,2,0,0.000,5244563456,5001.605,5268045824,5024.000,611057664,582.750
2026-02-02T02:34:05.426265+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,3019898880,2880.000,371195904,354.000
2026-02-02T02:34:05.426265+00:00,transformer,None,1024,1024,,100,17799988864,16975.392,506550784,483.084,572522496,546.000,94765056,90.375
2026-02-02T02:35:07.927073+00:00,text_encoder,None,1024,1024,,2,0,0.000,9851921408,9395.524,9860808704,9404.000,610324480,582.051
2026-02-02T02:35:07.927073+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2998927360,2860.000,373161984,355.875
2026-02-02T02:35:07.927073+00:00,transformer,None,1024,1024,,100,9193103302,8767.227,582048256,555.084,761266176,726.000,93585408,89.250
2026-02-02T02:39:12.471432+00:00,text_encoder,None,1024,1024,,2,0,0.000,9851921408,9395.524,9860808704,9404.000,610566144,582.281
2026-02-02T02:39:12.471432+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2998927360,2860.000,373161984,355.875
2026-02-02T02:39:12.471432+00:00,transformer,None,1024,1024,,100,9193103302,8767.227,582048256,555.084,761266176,726.000,93585408,89.250
2026-02-02T02:40:26.959518+00:00,text_encoder,None,1024,1024,,2,0,0.000,5244562944,5001.605,5268045824,5024.000,611864576,583.520
2026-02-02T02:40:26.959518+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,373161984,355.875
2026-02-02T02:40:26.959518+00:00,transformer,None,1024,1024,,100,9193103302,8767.227,582048256,555.084,677380096,646.000,93978624,89.625
2026-02-02T02:41:26.360995+00:00,text_encoder,None,1024,1024,,2,0,0.000,5244562944,5001.605,5268045824,5024.000,611868672,583.523
2026-02-02T02:41:26.360995+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,373161984,355.875
2026-02-02T02:41:26.360995+00:00,transformer,None,1024,1024,,100,9731034240,9280.237,582048256,555.084,675282944,644.000,111673344,106.500
2026-02-02T02:42:39.059089+00:00,text_encoder,None,1024,1024,,2,0,0.000,5244562944,5001.605,5268045824,5024.000,611946496,583.598
2026-02-02T02:42:39.059089+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,373555200,356.250
2026-02-02T02:42:39.059089+00:00,transformer,None,1024,1024,,100,7646548608,7292.317,635132416,605.709,761266176,726.000,132513792,126.375
2026-02-02T02:43:48.575268+00:00,text_encoder,None,1024,1024,,2,0,0.000,5244562944,5001.605,5268045824,5024.000,612245504,583.883
2026-02-02T02:43:48.575268+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,3019898880,2880.000,374341632,357.000
2026-02-02T02:43:48.575268+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,759169024,724.000,132120576,126.000
2026-02-02T02:44:56.088140+00:00,text_encoder,None,1024,1024,,2,0,0.000,5533885440,5277.524,5561647104,5304.000,610611200,582.324
2026-02-02T02:44:56.088140+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T02:44:56.088140+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,132907008,126.750
2026-02-02T02:46:22.443692+00:00,text_encoder,None,1024,1024,,2,0,0.000,5533885440,5277.524,5561647104,5304.000,611655680,583.320
2026-02-02T02:46:22.443692+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T02:46:22.443692+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,132513792,126.375
2026-02-02T03:07:41.018294+00:00,text_encoder,None,1024,1024,,2,5183516672,4943.387,5533885440,5277.524,5561647104,5304.000,610893824,582.594
2026-02-02T03:07:41.018294+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T03:07:41.018294+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,131334144,125.250
2026-02-02T03:11:26.515386+00:00,text_encoder,None,1024,1024,,2,5183516672,4943.387,5533885440,5277.524,5561647104,5304.000,609075200,580.859
2026-02-02T03:11:26.515386+00:00,vae,cuda:0,1024,1024,,1,167639366,159.873,2551316992,2433.125,2956984320,2820.000,374341632,357.000
2026-02-02T03:11:26.515386+00:00,transformer,None,1024,1024,,100,5427580032,5176.144,638081536,608.522,780140544,744.000,131334144,125.250
